name,material_code,product_category_code,status
CPJ 42.5 IMPORTE EN SAC DE 50 KG,CPJIS425,CPJI425,TRUE
CPJ 42.5 IMPORTE EN SAC DE 50 KG ( VR),CPJIS425_VR,CPJI425,TRUE
CPJ 42.5 EN  VRAC ( VR ),CPJ425VRA_VR,CPJ425VRA_VR,TRUE
CPJ 42.5 EN  VRAC,CPJ425VRA,CPJ425VRA,TRUE
CPJ 42.5 EN SAC DE 50KG USINE (VR),CPJ425SAC_VR,CPJ425SAC,TRUE
CPJ 42.5 EN SAC DE 50KG USINE,CPJ425SAC,CPJ425SAC,TRUE
CPJ 32.5 EN VRAC (VR),CPJ325VRA_VR,CPJVRA,TRUE
CPJ 32.5 EN VRAC,CPJ325VRA,CPJVRA,TRUE
CPJ 32.5 EN SAC DE 50 KG ( VR ),CPJ325SAC_VR,CPJ325SAC,TRUE
CPJ 32.5 EN SAC DE 50 KG,CPJ325SAC,CPJ325SAC,TRUE
CPA 42.5 EN  VRAC ( VR ),CPA425VRA_VR,CPA425VRA,TRUE
CPA 42.5 EN  VRAC,CPA425VRA,CPA425VRA,TRUE
CPA 42.5 EN SAC DE 50 KG ( VR),CPA425SAC_VR,CPA425SAC,TRUE
CPA 42.5 EN SAC DE 50 KG,CPA425SAC,CPA425SAC,TRUE
CPA 42.5 EN BIG BAG ( VR),CPA425BIG_VR,CPA425BIG,TRUE
CPA 42.5 EN BIG BAG,CPA425BIG,CPA425BIG,TRUE
CHF 42.5 EN  VRAC ( VR ),CHF42.5VRA_VR,CHF42.5,TRUE
CHF 42.5 EN VRAC,CHF42.5VRA,CHF42.5,TRUE
CHF 42.5 EN SAC DE 50KG USINE (VR),CHF42.5SAC_VR,CHF42.5SAC,TRUE
CHF 42.5 EN SAC DE 50KG USINE,CHF42.5SAC,CHF42.5SAC,TRUE
CIMENT BLANC 52.5 R EN SAC DE 25 KG (VR),CEMI52.5RSAC_VR,CEMI52.5RSAC_VR,TRUE
CIMENT BLANC 52.5 R EN SAC DE 25 KG,CEMI52.5RSAC,CEMI52.5RSAC,TRUE
